,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1793,HealthPlix,2014.0,Bangalore,HealthPlix is a healthtech startup,"JSW Ventures, Kalaari Capital","$13,500,000",Series B,2021,2,2,Automotive,Dollars,13500000.0
1794,Masai School,2019.0,Bangalore,Masai School is a job-oriented software training services.,"Unitus Ventures, Omidyar Network India","$5,000,000",Series A,2021,2,1,Education,Dollars,5000000.0
1795,Bewakoof,2011.0,Mumbai,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.","IvyCap Ventures, Pratithi Investment Trust","$4,000,000",Series A,2021,2,1,Lifestyle,Dollars,4000000.0
1796,IndiaLends,2014.0,Delhi,IndiaLends is a digital lending and borrowing marketplace.,"ACPI Investments, AdvantEdge Founders","$5,100,000",Corporate Round,2021,2,2,FinTech,Dollars,5100000.0
1797,Stelis Biopharma,2007.0,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company.,"RouteOne, Mankekar Family Office","$195,000,000",Series B,2021,2,1,Technology,Dollars,195000000.0
1798,Tilt,2016.0,Bangalore,A bike-share for Indian campuses,Y Combinator,"$125,000",Seed,2021,1,1,Logistics,Dollars,125000.0
1799,NeoDove,2020.0,Jaipur,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",India Quotient,"$15,000,000",Seed,2021,1,1,Technology,Dollars,15000000.0
1800,Zaara Biotech,2016.0,Kottayam,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,TCN International Commerce,"$10,000,000",Angel,2021,1,1,Technology,Dollars,10000000.0
1801,KreditBee,2018.0,Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Alpine Capital, PremjiInvest","$75,000,000",Seed,2021,2,3,FinTech,Dollars,75000000.0
1802,True Balance,2014.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Bon Angels Venture Partners, Daesung Private Equity","$10,000,000",Seed,2021,2,3,FinTech,Dollars,10000000.0
1803,Muvin,2020.0,Bangalore,Youth Neobank enabling financial solutions for the teenagers and young people,Not Specified,"$1,000,000",Seed,2021,2,1,FinTech,Dollars,1000000.0
